id,소속원문,업체명,기호,업체구분,인센티브,전달마커,소통채널,웹활용,직접접수,접수대행,유선접수전달,유선개통전달,무선개통전달,회신전달,계정수,대표아이디,연락처,상태,비고
192,■케이스토어 권선시장점○,케이스토어 권선시장점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rnjstjstlwkd,,활성,
193,■케이스토어 권선점○,케이스토어 권선점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rnjstjswja,,활성,
194,■케이스토어 세류점○,케이스토어 세류점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,zpdltmxhdj,,활성,
195,■코코모바일,코코모바일,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,zhzhahqkdlf,,활성,
196,■크라운모바일○,크라운모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,zmfkdnsahqk,,활성,
197,■택하다○,택하다○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,xorgkek,,활성,
198,■통신사기119○,통신사기119○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tongsin119,,활성,
199,■통큰휴대폰○,통큰휴대폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,xhdzmsgbeovhs,,활성,
200,■퍼드림모바일○,퍼드림모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vjemfla,,활성,
201,■퍼펙트키or현주친구○,퍼펙트키or현주친구○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,2,vjvprxmzl1,,활성,
202,■펀모바일○,펀모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vjsahqkdlf,,활성,
203,■폰닥터○,폰닥터○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qkrdmstjd,,활성,
204,■폰달인○,폰달인○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsekfdls,010-6666-1654,활성,
205,■폰메이트○,폰메이트○,■,판매점,N,?,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,apdlxm,,활성,
206,■폰스토리_가정점○,폰스토리_가정점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rkwjdwja,,활성,
207,■폰스토리_여주점○,폰스토리_여주점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhstmxhfl,,활성,
208,■폰스토리_청라점○,폰스토리_청라점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhstmghfflr,,활성,
209,■폰앤폰○,폰앤폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsdosvhs,,활성,
210,■폰찍좌 4호점○,폰찍좌 4호점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rlawndhks,,활성,
211,■폰찍좌6호점○,폰찍좌6호점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsWlrwhk6gh,,활성,
212,■폰창고○,폰창고○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsckdrh,,활성,
213,■폰포유2○,폰포유2○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsvhdb,,활성,
214,■폰플러스_전북○,폰플러스_전북○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsvmffjtm,,활성,
215,■폰필모바일○,폰필모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vhsvlfahqkdlf,,활성,
216,■폼○,폼○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dldbstj,010-3059-1171,활성,
217,■프로모바일○,프로모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vmfhahqkdlf,,활성,
218,■프린스통신○,프린스통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vmflstmxhdtls,,활성,
219,■피오피정보통신○,피오피정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vldhvlwjdqh,,활성,
220,■피치라이언○,피치라이언○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vlclfkdldjs,,활성,
221,■하냥모바일○,하냥모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gksid,,활성,
222,■하니텔레콤○,하니텔레콤○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gkslxpffpzha,,활성,
223,■하온정보○,하온정보○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gkdhswjdqh,,활성,
224,■한국통신(별악)○,한국통신(별악)○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gksrnrxhdtls,,활성,
225,■한별통신○,한별통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gksquf,010-2892-0040,활성,
226,■한솔통신○,한솔통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gksthfxhdtls,,활성,
227,■한조무역○,한조무역○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gkswhandur,,활성,
228,■행복한남매통신○,행복한남매통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,godqhrgks,,활성,
229,■헬로정보통신○,헬로정보통신○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gpffhwjdqh,,활성,
230,■현대컴퍼니○,현대컴퍼니○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,guseozjavjsl,,활성,
231,■호매실꽁폰○,호매실꽁폰○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghaotlf,,활성,
232,■호원에이치모바일○,호원에이치모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghdnjsdpdlcl,,활성,
233,■홀릭마켓○,홀릭마켓○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghfflrakzpt,1,활성,
234,■홈인테리어○,홈인테리어○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghadlsxpfldj,,활성,
235,■황소모바일○,황소모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghkdthahqkdlf,,활성,
236,■후모바일○,후모바일○,■,판매점,N,X,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gnahqkdlf,,활성,
237,■휴대폰11번가○,휴대폰11번가○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gbeovhs11qjsrk,,활성,
238,■휴대폰멀티샵 두정점○,휴대폰멀티샵 두정점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,enwjdwja,,활성,
239,■휴대폰박사○,휴대폰박사○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gbeovhsqkrtk,,활성,
240,■휴대폰성지 부엉폰 봉담점,휴대폰성지 부엉폰 봉담점,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qndjdvhsqhdeka,,활성,
241,■휴대폰성지SYH○,휴대폰성지SYH○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,tjdwlsyh,,활성,
242,■휴대폰성지판다폰송도점○,휴대폰성지판다폰송도점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,qldptm,010-5694-9456,활성,
243,■휴대폰아울렛○,휴대폰아울렛○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,hpdkdnffpt,010-5833-2767,활성,
244,■휴대폰지식인○,휴대폰지식인○,■,판매점,N,X,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,gbeovhswltlr,,활성,
245,□□대도종합통신○,대도종합통신○,□□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,eoeh,,활성,
246,□구로원정보통신○,구로원정보통신○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rnfhdnjs,,활성,
247,□그린정보통신○,그린정보통신○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,rmflswjdqh,010-4001-4777,활성,
248,□아이러브휴대폰○,아이러브휴대폰○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dkdlfjqm,01023939570,활성,
249,□엘림스튜디오○,엘림스튜디오○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dpfflatmxbeldh,,활성,
250,□피시사구팔구닷컴○,피시사구팔구닷컴○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,vltltkrnvkfrn,,활성,
251,□화인테크○,화인테크○,□,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,ghkdlsxpzm,,활성,
252,◆◆온길○,온길○,◆◆,협력점,Y,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dhsrlf,,활성,
253,◆◆온모바일○,온모바일○,◆◆,협력점,Y,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dhsahqkdlf,,활성,
254,●우주커넥트○,우주커넥트○,●,자점,N,,어드민,Y,N,N,N,N,N,N,21,yoonshop,010-9970-8982,활성,
255,●케이티텔레캅 충북지사,케이티텔레캅 충북지사,●,자점,N,,어드민,Y,N,N,N,N,N,N,1,rlatmdqja,,활성,
256,●패스앤슈팅,패스앤슈팅,●,자점,N,,어드민,Y,N,N,N,N,N,N,1,zlaos,,활성,
257,★CS프로●,CS프로,★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,9,CSVMFH8,,활성,
258,★★AH네트웍스●,AH네트웍스,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ahspxmdnjrtm,,활성,
259,★★BCY●,BCY,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,22,tmakdlffldzm11,1,활성,
260,★★ES정보통신●,ES정보통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,eswjdqhxhdtls,,활성,
261,★★JB인터넷○,JB인터넷○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,jbdlsxjspt,,활성,
262,★★KJ네트웍스●,KJ네트웍스,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,kjspxmdnjrtm,010-9234-4242,활성,
263,★★KTNS(케이티앤에스)○,KTNS(케이티앤에스)○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,zpdlxldosdptm,010-9768-1633,활성,
264,★★MCC네트월드●,MCC네트월드,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,mccspxmdnjfem,,보류,
265,★★가즈아통신(HuiH통신)●,가즈아통신(HuiH통신),★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rkwmdk,1833-4612,활성,
266,★★갈마통신●,갈마통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rkfakxhdtls,,활성,
267,★★권은혜 팀장님●,권은혜 팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rnjsdmsgp,,활성,
268,★★금아●,금아,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rmadk,,활성,
269,★★기가몬스터●,기가몬스터,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlrkahstmxj,,활성,
270,★★기가요●,기가요,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlrkdy,,활성,
271,★★기가토피아●,기가토피아,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlrkxhvldk,,활성,
272,★★기가통신○,기가통신○,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,rlrkxhdtls,,보류,
273,★★기산통신●,기산통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rltksxhdtls,010-4292-7910,활성,
274,★★김선민팀장(강서)○,김선민팀장(강서)○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlatjsals,,활성,
275,★★김옥희팀장님●,김옥희팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rladhrgml,,활성,
276,★★김지연팀장님●,김지연팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlawldus,,활성,
277,★★김해경부장님●,김해경부장님,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,kk1498,,활성,
278,★★김형석차장님●,김형석차장님,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,rlagudtjr,,보류,
279,★★나눔드림○,나눔드림○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,2,nanumdream,,활성,
280,★★네오●,네오,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,spdh,,활성,
281,★★네클○,네클○,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,spzmf,11,보류,
282,★★누리통신●,누리통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,snflxhdtls,,활성,
283,★★뉴젠●,뉴젠,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,sbwps,,보류,
284,★★다드림(김성재)○,다드림(김성재)○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,rlatjdwo,,활성,
285,★★다모아○,다모아○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,ekahdk,,활성,
286,★★다성●,다성,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,2,ektjd1,,활성,
287,★★다온홈시스○,다온홈시스○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ekdhsghatltm,,활성,
288,★★다은정보●,다은정보,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ekdmswjdqh,16880277,활성,
289,★★당일민족○,당일민족○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ekddlfalswhr,,활성,
290,★★더드림인터넷●,더드림인터넷,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,ejemfla,,활성,
291,★★더원컴퍼니○,더원컴퍼니○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,2,ejdnjszjavjsl1,,활성,
292,★★더좋은인터넷●,더좋은인터넷,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ejwhgdms,,활성,
293,★★도매폰고양점○,도매폰고양점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,wjscksgh,,활성,
294,★★도매폰금릉점○,도매폰금릉점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tjfdmsxo,,활성,
295,★★도매폰금촌점○,도매폰금촌점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ghkddlsdn,,활성,
296,★★도매폰백마점○,도매폰백마점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,chlckdrms,,활성,
297,★★도매폰장현장곡점○,도매폰장현장곡점○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,sunkiss1,,활성,
298,★★도매폰탄현점○,도매폰탄현점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qkreogh,,활성,
299,★★도매폰황소점○,도매폰황소점○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,wjddlsdn,,활성,
300,★★돈마니인터넷●,돈마니인터넷,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,kyc411,,보류,
301,★★돈큐이노베이션(DQ)●,돈큐이노베이션(DQ),★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,leebarun,,보류,
302,★★드림○,드림○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,rty999,,활성,
303,★★딜러스●,딜러스,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,elffjtm,,활성,
304,★★또넷트워크●,또넷트워크,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,Ehsptxmdnjzm,,활성,
305,★★뜬뜬통신●,뜬뜬통신,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,EmsEmsxhdtls,,보류,
306,★★라온●,라온,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,theraon,,보류,
307,★★로또369●,로또369,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,fhEh369,,보류,
308,★★마루나○,마루나○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,akfnsk,1,활성,
309,★★마징가모바일샵●,마징가모바일샵,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,akwldrkahqkdlf,,보류,
310,★★맨투맨솔루션●,맨투맨솔루션,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,aosxnaosthffn,010-9923-8228,활성,
311,★★메타정보○,메타정보○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,oasis,,활성,
312,★★모두드림●,모두드림,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ahenemfla,,활성,
313,★★모바인●,모바인,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,ahqkdls,,보류,
314,★★바른드림커넥션●,바른드림커넥션,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,zjsprtus,,활성,
315,★★박명화사장님●,박명화사장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qkraudghk,,활성,
316,★★배인섭팀장님●,배인섭팀장님,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,qodlstjq,,보류,
317,★★비교의힘●,비교의힘,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,qlrydmlgla,,활성,
318,★★비엘온라인●,비엘온라인,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,qldpfdhsfkdls,,활성,
319,★★비전코퍼레이션(JB김종찬)○,비전코퍼레이션(JB김종찬)○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,rlawhdcks,,활성,
320,★★비즈메이트○,비즈메이트○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qlwmapdlxm,010-2669-1116,활성,
321,★★비즈앤컴●,비즈앤컴,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qlwmdoszja,,활성,
322,★★빅워크솔루션●,빅워크솔루션,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qlrdnjzm,010-3299-3009,활성,
323,★★빌리고●,빌리고,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,qlfflrh,,보류,
324,★★사만당●,사만당,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tkaksekd,,활성,
325,★★삼대정보통신●,삼대정보통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tkaeowjdqh,,활성,
326,★★삼성정보통신●,삼성정보통신,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,tkatjdwjdqh,,활성,
327,★★새용마●,새용마,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,todydak,01024221422,활성,
328,★★서울모바일○,서울모바일○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tjdnfahqkdlf,010-2920-1116,활성,
329,★★서울통신(평생정보)●,서울통신(평생정보),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,seoul88,,활성,
330,★★선길현팀장님●,선길현팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tjsrlfgus,,활성,
331,★★성지당●,성지당,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,tjdwlekd,,활성,
332,★★세웅통신●,세웅통신,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,todnd,1,활성,
333,★★소은(오프라인)●,소은(오프라인),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,ehaovhs,,활성,
334,★★신대원사장님●,신대원사장님,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,tlseodnjs,,보류,
335,★★씨에스컴퍼니○,씨에스컴퍼니○,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,cscompany,,보류,
336,★★아라(시운)●,아라(시운),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dkfk,010-6899-5965,활성,
337,★★아사모●,아사모,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dktkah,1,보류,
338,★★아우통신●,아우통신,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dkdnxhdtls,,보류,
339,★★아이스토어(황해숙)●,아이스토어(황해숙),★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,ghkdgPtnr,,활성,
340,★★아이앤피●,아이앤피,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,8,inp0012,,활성,
341,★★아이엔에스정보●,아이엔에스정보,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dpdldpsdptm,,활성,
342,★★아이엠커넥트●,아이엠커넥트,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,qkrdlsal,,활성,
343,★★아이오●,아이오,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,2,aio222,,활성,
344,★★아정당○,아정당○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,84,rladlsrl89,1833-3504,활성,
345,★★알고리즘통신●,알고리즘통신,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dkfrhflwma,010-2448-1502,활성,
346,★★애니(비즈메이트)○,애니(비즈메이트)○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,doslqlwm,,활성,
347,★★애니베스트●,애니베스트,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,3,doslqptmxm,010-8511-5847,활성,
348,★★에스모바일○,에스모바일○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dptmahqkdlf,010-8999-0551,활성,
349,★★에스지네트워크●,에스지네트워크,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dptmwl,,활성,
350,★★에스컴퍼니●,에스컴퍼니,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,13,scompany2112,,활성,
351,★★에이블(JB)(양정환)○,에이블(JB)(양정환)○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,didwjdghks,,활성,
352,★★에이블(JB)○,에이블(JB)○,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,2,dpdlqmf2,,활성,
353,★★에이스CCTV●,에이스CCTV,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dpdltm,,활성,
354,★★엘케이통신●,엘케이통신,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dpfzpdlxhdtls,,활성,
355,★★엘티에스●,엘티에스,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dpfxldptm,,보류,
356,★★엠투엠(우사인)●,엠투엠(우사인),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,5,DNTKDLS33,,활성,
357,★★여기서●,여기서,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,durltj,,활성,
358,★★영선팀장님●,영선팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dudtjs,,활성,
359,★★영자통신●,영자통신,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dudwk,010-2932-5904,활성,
360,★★예온정보통신●,예온정보통신,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dPdhswjdqh,010-4250-1592,활성,
361,★★오픈통신●,오픈통신,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dhvmsxhdtls,,보류,
362,★★우승호팀장님●,우승호팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dntmdgh,,활성,
363,★★원원●,원원,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,6,dnjsdnjs5,,활성,
364,★★웨이팅●,웨이팅,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dnpdlxld,,활성,
365,★★위즈통신(대산)●,위즈통신(대산),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,2,dnlwm,010-8949-2797,활성,
366,★★윈업파트너스●,윈업파트너스,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,dnlsdjq123,,보류,
367,★★윈윈컴퍼니○,윈윈컴퍼니○,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dnlsdnlszjavj,,활성,
368,★★유경민사장님●,유경민사장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dbrudals,,활성,
369,★★유비티즌●,유비티즌,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dbqlxlwms,,활성,
370,★★유아이통신●,유아이통신,★★,협력점,N,,카카오톡단체방,,,,,,Y,,4,yaiiii002,,보류,
371,★★유에스그룹●,유에스그룹,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dbdptm,,활성,
372,★★유주컴퍼니(비교원)○,유주컴퍼니(비교원)○,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,dbwn,,보류,
373,★★유피통신○,유피통신○,★★,협력점,N,,카카오톡단체방,,,,,,Y,,1,UP0001,,보류,
374,★★유픽●,유픽,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,3,dbvlr2,,활성,
375,★★윤성렌탈●,윤성렌탈,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dbstjdfpsxkf,,활성,
376,★★은결컴퍼니●,은결컴퍼니,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,2,dmsrufsky,,활성,
377,★★이미경팀장님●,이미경팀장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dlalrud,,활성,
378,★★이알에프●,이알에프,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dldkfdpvm,,보류,
379,★★이행우사장님●,이행우사장님,★★,협력점,N,O,카카오톡단체방,N,,Y,Y,Y,Y,Y,1,dlgoddn,,활성,
380,★★인가남(엔터통신)●,인가남(엔터통신),★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,1,dlsrkska,,활성,
381,★★인가업●,인가업,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,19,wnqkf2,01029499207,활성,
382,★★인싸통신●,인싸통신,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dlsTkxhdtls,,보류,
383,★★인터넷은●,인터넷은,★★,협력점,N,?,카카오톡단체방,,,,,,Y,,1,dlsxjsptdms,,보류,
384,★★인터넷톡톡●,인터넷톡톡,★★,협력점,N,X,카카오톡단체방,Y,,N,N,N,Y,N,2,xhrxhr2,,활성,
